wikidata_id,common_name,scientific_name,wikipedia_title,source_url,mass_kg,lifespan_yr,gestation_days,litter_size,max_speed_mph,conservation_status,pageviews_30d,image_url,image_file_page,image_license,image_attribution
Q664472,Lepus flavigularis,Lepus flavigularis,Tehuantepec jackrabbit,https://en.wikipedia.org/wiki/Tehuantepec_jackrabbit,,,,,,Endangered,649,https://upload.wikimedia.org/wikipedia/commons/7/77/Lepus_flavigularis_2.jpg,https://commons.wikimedia.org/wiki/File%3ALepus_flavigularis_2.jpg,CC BY 4.0,tereso30 / CC BY 4.0
Q1769793,Ruwenzori Shrew,Ruwenzorisorex suncoides,Ruwenzori shrew,https://en.wikipedia.org/wiki/Ruwenzori_shrew,,,,,,Vulnerable,52,https://upload.wikimedia.org/wikipedia/commons/4/45/Myosorex_varius.png,https://commons.wikimedia.org/wiki/File%3AMyosorex_varius.png,CC BY 2.0,A. Robers / CC BY 2.0
Q508013,whiskered bat,Myotis mystacinus,Whiskered bat,https://en.wikipedia.org/wiki/Whiskered_bat,,,,,,Least Concern,411,https://upload.wikimedia.org/wikipedia/commons/6/6f/Whiskered_bat_%28Myotis_mystacinus%29_Rochovce.jpg,https://commons.wikimedia.org/wiki/File%3AWhiskered_bat_%28Myotis_mystacinus%29_Rochovce.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q1017365,Lepus saxatilis,Lepus saxatilis,Cape scrub hare,https://en.wikipedia.org/wiki/Cape_scrub_hare,,,,,,Least Concern,385,https://upload.wikimedia.org/wikipedia/commons/3/3f/Scrub_Hare_%28Lepus_saxatilis%29_close-up_%2830544290256%29_%282%29.jpg,https://commons.wikimedia.org/wiki/File%3AScrub_Hare_%28Lepus_saxatilis%29_close-up_%2830544290256%29_%282%29.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/65695019@N07"">Bernard DUPONT</a> from FRANCE / CC BY-SA 2.0"
Q214633,Dzungarian hamster,Phodopus sungorus,Winter white dwarf hamster,https://en.wikipedia.org/wiki/Winter_white_dwarf_hamster,0.0024,,21.5,,,Least Concern,6438,https://upload.wikimedia.org/wikipedia/commons/7/7a/PhodopusSungorus_1.jpg,https://commons.wikimedia.org/wiki/File%3APhodopusSungorus_1.jpg,CC BY 2.5,Philipp Salzgeber / CC BY 2.5
Q944704,Ateles marginatus,Ateles marginatus,White-cheeked spider monkey,https://en.wikipedia.org/wiki/White-cheeked_spider_monkey,,,,,,Endangered,348,https://upload.wikimedia.org/wikipedia/commons/d/dc/Ateles_marginatus3.jpg,https://commons.wikimedia.org/wiki/File%3AAteles_marginatus3.jpg,CC BY 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Minister2009"" title=""User:Minister2009"">Minister2009</a> / CC BY 3.0"
Q1768795,Hipposideros hypophyllus,Hipposideros hypophyllus,Kolar leaf-nosed bat,https://en.wikipedia.org/wiki/Kolar_leaf-nosed_bat,,,,,,Critically Endangered,138,https://upload.wikimedia.org/wikipedia/commons/e/ed/Kolar_leaf-nosed_bat.jpg,https://commons.wikimedia.org/wiki/File%3AKolar_leaf-nosed_bat.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Rajesh.bp13&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Rajesh.bp13 (page does not exist)"">Rajesh Puttaswamaiah</a> / CC BY-SA 4.0"
Q728636,Himalayan tahr,Hemitragus jemlahicus,Himalayan tahr,https://en.wikipedia.org/wiki/Himalayan_tahr,,,182.625,,,Near Threatened,4991,https://upload.wikimedia.org/wikipedia/commons/3/34/Himalayan_Tahr_at_Sagarmatha_National_Park%2C_Nepal_01.jpg,https://commons.wikimedia.org/wiki/File%3AHimalayan_Tahr_at_Sagarmatha_National_Park%2C_Nepal_01.jpg,CC BY-SA 4.0,"<ul><li><b>Original: </b> <a href=""//commons.wikimedia.org/w/index.php?title=User:Gurung_pratap&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Gurung pratap (page does not exist)"">Pratap Gurung</a></li>
<li><small style=""font-size:85%;""><b>Derivative work: </b> <a href=""//commons.wikimedia.org/wiki/User:UnpetitproleX"" title=""User:UnpetitproleX"">UnpetitproleX</a></small></li></ul> / CC BY-SA 4.0"
Q2223955,Pygmy brocket,Mazama nana,Pygmy brocket,https://en.wikipedia.org/wiki/Pygmy_brocket,,,,,,Vulnerable,317,https://upload.wikimedia.org/wikipedia/commons/c/ca/Mazama_nana.jpg,https://commons.wikimedia.org/wiki/File%3AMazama_nana.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/niallcorbet/"">Niall Corbet</a> / CC BY 2.0"
Q1829319,Sowell's short-tailed bat,Carollia sowelli,Sowell's short-tailed bat,https://en.wikipedia.org/wiki/Sowell's_short-tailed_bat,,,,,,Least Concern,67,https://upload.wikimedia.org/wikipedia/commons/a/a3/Sowell%E2%80%99s_Short-tailed_Bat%2C_Belize_District%2C_Belize_imported_from_iNaturalist_photo_119271351.jpg,https://commons.wikimedia.org/wiki/File%3ASowell%E2%80%99s_Short-tailed_Bat%2C_Belize_District%2C_Belize_imported_from_iNaturalist_photo_119271351.jpg,CC BY 4.0,"(c) Amelia Tauber, some rights reserved (CC BY) / CC BY 4.0"
