wikidata_id,scientific_name,wikipedia_title,source_url,mass_kg,lifespan_yr,gestation_days,litter_size,population_grp_size,max_speed_mph,hibernation_b,migration_b,continent,conservation_status,pageviews_30d,sound_url,image_url,image_file_page,image_license,image_attribution
Q131538,Hydrochoerus hydrochaeris,Capybara,https://en.wikipedia.org/wiki/Capybara,48.1,12,150.7,3.49,,22,0,1,,Least Concern,131003,,https://upload.wikimedia.org/wikipedia/commons/3/34/Hydrochoeris_hydrochaeris_in_Brazil_in_Petr%C3%B3polis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg,https://commons.wikimedia.org/wiki/File%3AHydrochoeris_hydrochaeris_in_Brazil_in_Petr%C3%B3polis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg,CC0,"<bdi><a href=""https://www.wikidata.org/wiki/Q115464159"" class=""extiw"" title=""d:Q115464159""><span title=""developer analyst and photographer from Venezuela"">Wilfredor</span></a></bdi> / CC0"
Q33602,Ailuropoda melanoleuca,Giant panda,https://en.wikipedia.org/wiki/Giant_panda,118,30,135,1.62,,20,0,1,Asia,Vulnerable,124973,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Grosser_Panda.JPG,https://commons.wikimedia.org/wiki/File%3AGrosser_Panda.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:J._Patrick_Fischer"" title=""User:J. Patrick Fischer"">J. Patrick Fischer</a> / CC BY-SA 3.0"
Q140,Panthera leo,Lion,https://en.wikipedia.org/wiki/Lion,158.6,30,108.7,2.75,,50,0,0,,Vulnerable,120926,https://upload.wikimedia.org/wikipedia/commons/d/d3/Lionroar.wav,https://upload.wikimedia.org/wikipedia/commons/a/a6/020_The_lion_king_Snyggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,https://commons.wikimedia.org/wiki/File%3A020_The_lion_king_Snyggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Giles_Laurent"" title=""User:Giles Laurent"">Giles Laurent</a> / CC BY-SA 4.0"
Q19939,Panthera tigris,Tiger,https://en.wikipedia.org/wiki/Tiger,161.9,26.3,105.2,2.6,1,40,0,0,Asia,Endangered,109781,https://upload.wikimedia.org/wikipedia/commons/2/29/439280_schots_angry-tiger.wav,https://upload.wikimedia.org/wikipedia/commons/b/b0/Bengal_tiger_%28Panthera_tigris_tigris%29_female_3_crop.jpg,https://commons.wikimedia.org/wiki/File%3ABengal_tiger_%28Panthera_tigris_tigris%29_female_3_crop.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q33609,Ursus maritimus,Polar bear,https://en.wikipedia.org/wiki/Polar_bear,371.7,38.2,64.7,1.66,1,25,0,1,,Vulnerable,102147,,https://upload.wikimedia.org/wikipedia/commons/6/66/Polar_Bear_-_Alaska_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File%3APolar_Bear_-_Alaska_%28cropped%29.jpg,CC BY-SA 3.0,Alan Wilson / CC BY-SA 3.0
Q18498,Canis lupus,Wolf,https://en.wikipedia.org/wiki/Wolf,31.8,29.5,63.5,4.98,,38,0,1,,Least Concern,96796,,https://upload.wikimedia.org/wikipedia/commons/6/68/Eurasian_wolf_2.jpg,https://commons.wikimedia.org/wiki/File%3AEurasian_wolf_2.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Mas3cf&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Mas3cf (page does not exist)"">User:Mas3cf</a> / CC BY-SA 4.0"
Q35694,Panthera onca,Jaguar,https://en.wikipedia.org/wiki/Jaguar,83.9,23,102.5,1.96,1,50,0,0,,Near Threatened,88350,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Standing_jaguar.jpg,https://commons.wikimedia.org/wiki/File%3AStanding_jaguar.jpg,Public domain,USFWS / Public domain
Q173128,Mellivora capensis,Honey badger,https://en.wikipedia.org/wiki/Honey_badger,9,26.5,181.5,2.35,,19,0,0,,Least Concern,84442,,https://upload.wikimedia.org/wikipedia/commons/4/42/Honey_Badger.jpg,https://commons.wikimedia.org/wiki/File%3AHoney_Badger.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Sumeetmoghe&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Sumeetmoghe (page does not exist)"">Sumeet Moghe</a> / CC BY-SA 4.0"
Q15343,Ornithorhynchus anatinus,Platypus,https://en.wikipedia.org/wiki/Platypus,1.5,22,12.5,2,,8,1,0,Oceania,Near Threatened,83504,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Duck-billed_platypus_%28Ornithorhynchus_anatinus%29_Scottsdale.jpg,https://commons.wikimedia.org/wiki/File%3ADuck-billed_platypus_%28Ornithorhynchus_anatinus%29_Scottsdale.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q35255,Puma concolor,Cougar,https://en.wikipedia.org/wiki/Cougar,54,20,92.3,2.76,,50,0,1,,Least Concern,80911,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Mountain_Lion_in_Glacier_National_Park.jpg,https://commons.wikimedia.org/wiki/File%3AMountain_Lion_in_Glacier_National_Park.jpg,Public domain,National Park Service / Public domain
