Title,Album,Era,Lead vocal,Highest chart position,Words in Title,Cover,
I'm Happy Just to Dance with You,A Hard Day's Night,Beatlemania (1963-1965),George,95,7,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
I Should Have Known Better,A Hard Day's Night,Beatlemania (1963-1965),John,53,5,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
I'll Be Back,A Hard Day's Night,Beatlemania (1963-1965),John,100+,3,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
I'll Cry Instead,A Hard Day's Night,Beatlemania (1963-1965),John,25,3,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Tell Me Why,A Hard Day's Night,Beatlemania (1963-1965),John,100+,3,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
When I Get Home,A Hard Day's Night,Beatlemania (1963-1965),John,100+,4,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
You Can't Do That,A Hard Day's Night,Beatlemania (1963-1965),John,48,4,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
A Hard Day's Night,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",1,4,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Any Time at All,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",100+,4,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
If I Fell,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",53,3,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
And I Love Her,A Hard Day's Night,Beatlemania (1963-1965),Paul,12,4,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Can't Buy Me Love,A Hard Day's Night,Beatlemania (1963-1965),Paul,1,4,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Things We Said Today,A Hard Day's Night,Beatlemania (1963-1965),Paul,100+,4,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Here Comes the Sun,Abbey Road,Late Beatles (1968-1970),George,3,4,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Something,Abbey Road,Late Beatles (1968-1970),George,1,1,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
