Title,Album,Era,Lead vocal,Highest chart position,Words in Title,Cover,Names,Adjective,Punctuation,Image
Bad Boy,Single,Beatlemania (1963-1965),John,100+,2,1​,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Devil in Her Heart,With The Beatles,Beatlemania (1963-1965),George,100+,4,1​,0,1​,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Dizzy Miss Lizzy,Help!,Beatlemania (1963-1965),John,100+,3,1​,1​,1​,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
Eight Days a Week,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",1,4,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
Every Little Thing,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",100+,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
Hold Me Tight,With The Beatles,Beatlemania (1963-1965),Paul,100+,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
I Feel Fine,Single,Beatlemania (1963-1965),John,1,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I Should Have Known Better,A Hard Day's Night,Beatlemania (1963-1965),John,53,5,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Little Child,With The Beatles,Beatlemania (1963-1965),"John, Paul",100+,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Long Tall Sally,Single,Beatlemania (1963-1965),Paul,100+,3,1​,1​,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Misery,Please Please Me,Beatlemania (1963-1965),"John, Paul",100+,1,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Not a Second Time,With The Beatles,Beatlemania (1963-1965),John,100+,4,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Nowhere Man,Rubber Soul,Beatlemania (1963-1965),John,3,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
Rock and Roll Music,Beatles For Sale,Beatlemania (1963-1965),John,100+,4,1​,0,1​,0,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
Slow Down,Single,Beatlemania (1963-1965),John,25,2,1​,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
You Like Me Too Much,Help!,Beatlemania (1963-1965),George,100+,5,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
For You Blue,Let It Be,Late Beatles (1968-1970),George,1,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Glass Onion,White Album,Late Beatles (1968-1970),John,100+,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Golden Slumbers,Abbey Road,Late Beatles (1968-1970),Paul,100+,2,0,0,1​,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Good Night,White Album,Late Beatles (1968-1970),Ringo,100+,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Happiness Is a Warm Gun,White Album,Late Beatles (1968-1970),John,100+,5,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Honey Pie,White Album,Late Beatles (1968-1970),Paul,100+,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Old Brown Shoe,Single,Late Beatles (1968-1970),George,100+,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Sexy Sadie,White Album,Late Beatles (1968-1970),John,100+,2,0,1​,1​,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
The Inner Light,Single,Late Beatles (1968-1970),George,96,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
The Long and Winding Road,Let It Be,Late Beatles (1968-1970),Paul,1,5,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
While My Guitar Gently Weeps,White Album,Late Beatles (1968-1970),George,100+,5,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Wild Honey Pie,White Album,Late Beatles (1968-1970),Paul,100+,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
You Never Give Me Your Money,Abbey Road,Late Beatles (1968-1970),Paul,100+,6,0,0,1​,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Blue Jay Way,Magical Mystery Tour,Studio (1966-1967),George,100+,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
Getting Better,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Good Day Sunshine,Revolver,Studio (1966-1967),Paul,100+,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Lovely Rita,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,2,0,1​,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Magical Mystery Tour,Magical Mystery Tour,Studio (1966-1967),Paul,100+,3,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
Only a Northern Song,Yellow Submarine,Studio (1966-1967),George,100+,4,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Paperback Writer,Single,Studio (1966-1967),Paul,1,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
With a Little Help from My Friends,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Ringo,71,7,0,0,1​,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Yellow Submarine,Revolver,Studio (1966-1967),Ringo,2,2,0,0,1​,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Act Naturally,Help!,Beatlemania (1963-1965),Ringo,47,2,1​,0,0,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
All My Loving,With The Beatles,Beatlemania (1963-1965),Paul,45,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Another Girl,Help!,Beatlemania (1963-1965),Paul,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
Any Time at All,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Drive My Car,Rubber Soul,Beatlemania (1963-1965),"John, Paul",100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
I Need You,Help!,Beatlemania (1963-1965),George,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
I Saw Her Standing There,Please Please Me,Beatlemania (1963-1965),Paul,14,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
If I Fell,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",53,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
If I Needed Someone,Rubber Soul,Beatlemania (1963-1965),George,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
Komm Gib Mir Deine Hand,Single,Beatlemania (1963-1965),"John, Paul",100+,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Thank You Girl,Single,Beatlemania (1963-1965),"John, Paul",35,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Things We Said Today,A Hard Day's Night,Beatlemania (1963-1965),Paul,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Think for Yourself,Rubber Soul,Beatlemania (1963-1965),George,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
This Boy,Single,Beatlemania (1963-1965),"John, Paul, George",100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Till There Was You,With The Beatles,Beatlemania (1963-1965),Paul,100+,4,1​,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
What Goes On,Rubber Soul,Beatlemania (1963-1965),Ringo,81,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
Words of Love,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",100+,3,1​,0,0,0,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
Yes It Is,Single,Beatlemania (1963-1965),John,46,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Yesterday,Help!,Beatlemania (1963-1965),Paul,1,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
Across the Universe,Let It Be,Late Beatles (1968-1970),John,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Carry That Weight,Abbey Road,Late Beatles (1968-1970),"Paul, Ringo",100+,3,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Dear Prudence,White Album,Late Beatles (1968-1970),John,100+,2,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Helter Skelter,White Album,Late Beatles (1968-1970),Paul,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Hey Bulldog,Yellow Submarine,Late Beatles (1968-1970),John,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Lady Madonna,Single,Late Beatles (1968-1970),Paul,4,2,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Maggie Mae,Let It Be,Late Beatles (1968-1970),"John, Paul",100+,2,1​,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Martha My Dear,White Album,Late Beatles (1968-1970),Paul,100+,3,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Piggies,White Album,Late Beatles (1968-1970),George,100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Polythene Pam,Abbey Road,Late Beatles (1968-1970),John,100+,2,0,1​,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Revolution 9,White Album,Late Beatles (1968-1970),N/A,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Rocky Raccoon,White Album,Late Beatles (1968-1970),Paul,100+,2,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Savoy Truffle,White Album,Late Beatles (1968-1970),George,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
She Came in Through the Bathroom Window,Abbey Road,Late Beatles (1968-1970),Paul,100+,7,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Something,Abbey Road,Late Beatles (1968-1970),George,1,1,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Two of Us,Let It Be,Late Beatles (1968-1970),"John, Paul",100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Yer Blues,White Album,Late Beatles (1968-1970),John,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
A Day in the Life,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),"John, Paul",100+,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
All You Need Is Love,Magical Mystery Tour,Studio (1966-1967),John,1,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
Penny Lane,Magical Mystery Tour,Studio (1966-1967),Paul,1,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
Pepperland Laid Waste,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Sea of Monsters,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Strawberry Fields Forever,Magical Mystery Tour,Studio (1966-1967),John,8,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
The Fool on the Hill,Magical Mystery Tour,Studio (1966-1967),Paul,100+,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
Tomorrow Never Knows,Revolver,Studio (1966-1967),John,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Yellow Submarine in Pepperland,Yellow Submarine,Studio (1966-1967),N/A,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Your Mother Should Know,Magical Mystery Tour,Studio (1966-1967),Paul,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
And I Love Her,A Hard Day's Night,Beatlemania (1963-1965),Paul,12,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Boys,Please Please Me,Beatlemania (1963-1965),Ringo,100+,1,1​,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Chains,Please Please Me,Beatlemania (1963-1965),George,100+,1,1​,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Day Tripper,Single,Beatlemania (1963-1965),Paul,5,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
From Me to You,Single,Beatlemania (1963-1965),"John, Paul",41,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Girl,Rubber Soul,Beatlemania (1963-1965),John,100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
I Call Your Name,Single,Beatlemania (1963-1965),John,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I Wanna Be Your Man,With The Beatles,Beatlemania (1963-1965),"John, Paul, Ringo",100+,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
I Want to Hold Your Hand,Single,Beatlemania (1963-1965),"John, Paul",1,6,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
