Title,Album,Era,Lead vocal,Tempo bucket,Key root,Mood,Highest chart position,Words in Title
A Hard Day's Night,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",Fast,G,Happy,1,4
Can't Buy Me Love,A Hard Day's Night,Beatlemania (1963-1965),Paul,Fast,C,Happy,1,4
And I Love Her,A Hard Day's Night,Beatlemania (1963-1965),Paul,Mid,E,Neutral,12,4
I'll Cry Instead,A Hard Day's Night,Beatlemania (1963-1965),John,Slow,G,Happy,25,3
You Can't Do That,A Hard Day's Night,Beatlemania (1963-1965),John,Mid,G,Happy,48,4
If I Fell,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",Mid,C#,Neutral,53,3
I Should Have Known Better,A Hard Day's Night,Beatlemania (1963-1965),John,Mid,G,Happy,53,5
I'm Happy Just to Dance with You,A Hard Day's Night,Beatlemania (1963-1965),George,Fast,C#,Happy,95,7
Tell Me Why,A Hard Day's Night,Beatlemania (1963-1965),John,Fast,D,Happy,100+,3
I'll Be Back,A Hard Day's Night,Beatlemania (1963-1965),John,Mid,A,Neutral,100+,3
Any Time at All,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",Fast,D,Happy,100+,4
Things We Said Today,A Hard Day's Night,Beatlemania (1963-1965),Paul,Fast,A,Neutral,100+,4
When I Get Home,A Hard Day's Night,Beatlemania (1963-1965),John,Mid,A,Neutral,100+,4
Something,Abbey Road,Late Beatles (1968-1970),George,Slow,C,Neutral,1,1
Come Together,Abbey Road,Late Beatles (1968-1970),John,Fast,D,Sad,1,2
Because,Abbey Road,Late Beatles (1968-1970),"John, Paul, George",Slow,C#,Sad,100+,1
Octopus's Garden,Abbey Road,Late Beatles (1968-1970),Ringo,Slow,E,Happy,100+,2
Her Majesty,Abbey Road,Late Beatles (1968-1970),Paul,Mid,D,Neutral,100+,2
Oh! Darling,Abbey Road,Late Beatles (1968-1970),Paul,Slow,A,Neutral,100+,2
Polythene Pam,Abbey Road,Late Beatles (1968-1970),John,Fast,E,Neutral,100+,2
Golden Slumbers,Abbey Road,Late Beatles (1968-1970),Paul,Slow,A,Sad,100+,2
Sun King,Abbey Road,Late Beatles (1968-1970),John,Slow,E,Sad,100+,2
The End,Abbey Road,Late Beatles (1968-1970),Paul,Mid,A,Sad,100+,2
Carry That Weight,Abbey Road,Late Beatles (1968-1970),"Paul, Ringo",Slow,C,Happy,100+,3
Maxwell's Silver Hammer,Abbey Road,Late Beatles (1968-1970),Paul,Fast,D,Happy,100+,3
Mean Mr. Mustard,Abbey Road,Late Beatles (1968-1970),John,Mid,E,Happy,100+,3
Here Comes the Sun,Abbey Road,Late Beatles (1968-1970),George,Mid,A,Neutral,100+,4
I Want You (She's So Heavy),Abbey Road,Late Beatles (1968-1970),John,Mid,D,Neutral,100+,6
You Never Give Me Your Money,Abbey Road,Late Beatles (1968-1970),Paul,Fast,A,Sad,100+,6
She Came in Through the Bathroom Window,Abbey Road,Late Beatles (1968-1970),Paul,Slow,A,Happy,100+,7
Eight Days a Week,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",Fast,D,Happy,1,4
I Don't Want to Spoil the Party,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",Slow,G,Happy,39,7
Honey Don't,Beatles For Sale,Beatlemania (1963-1965),Ringo,Fast,E,Happy,100+,2
No Reply,Beatles For Sale,Beatlemania (1963-1965),John,Mid,C,Happy,100+,2
Mr. Moonlight,Beatles For Sale,Beatlemania (1963-1965),John,Mid,F#,Neutral,100+,2
Baby's in Black,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",Fast,A,Happy,100+,3
Every Little Thing,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",Mid,A,Happy,100+,3
I'm a Loser,Beatles For Sale,Beatlemania (1963-1965),John,Fast,G,Happy,100+,3
What You're Doing,Beatles For Sale,Beatlemania (1963-1965),Paul,Mid,D,Happy,100+,3
Words of Love,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",Mid,A,Happy,100+,3
Rock and Roll Music,Beatles For Sale,Beatlemania (1963-1965),John,Fast,A,Happy,100+,4
I'll Follow the Sun,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",Fast,C,Neutral,100+,4
"Kansas City/Hey, Hey, Hey, Hey",Beatles For Sale,Beatlemania (1963-1965),Paul,Fast,G,Happy,100+,5
Everybody's Trying to Be My Baby,Beatles For Sale,Beatlemania (1963-1965),George,Slow,E,Happy,100+,6
Help!,Help!,Beatlemania (1963-1965),John,Slow,A,Happy,1,1
Yesterday,Help!,Beatlemania (1963-1965),Paul,Slow,F,Sad,1,1
Ticket to Ride,Help!,Beatlemania (1963-1965),John,Mid,A,Happy,1,3
Act Naturally,Help!,Beatlemania (1963-1965),Ringo,Slow,G,Happy,47,2
Another Girl,Help!,Beatlemania (1963-1965),Paul,Slow,A,Happy,100+,2
Dizzy Miss Lizzy,Help!,Beatlemania (1963-1965),John,Fast,A,Happy,100+,3
It's Only Love,Help!,Beatlemania (1963-1965),John,Mid,C,Happy,100+,3
I Need You,Help!,Beatlemania (1963-1965),George,Fast,A,Neutral,100+,3
The Night Before,Help!,Beatlemania (1963-1965),Paul,Fast,D,Neutral,100+,3
I've Just Seen a Face,Help!,Beatlemania (1963-1965),Paul,Mid,A,Happy,100+,5
Tell Me What You See,Help!,Beatlemania (1963-1965),"John, Paul",Fast,G,Happy,100+,5
You Like Me Too Much,Help!,Beatlemania (1963-1965),George,Slow,G,Happy,100+,5
You're Going to Lose That Girl,Help!,Beatlemania (1963-1965),John,Mid,E,Happy,100+,6
You've Got to Hide Your Love Away,Help!,Beatlemania (1963-1965),John,Slow,G,Neutral,100+,7
Get Back,Let It Be,Late Beatles (1968-1970),Paul,Mid,A,Neutral,1,2
For You Blue,Let It Be,Late Beatles (1968-1970),George,Mid,D,Happy,1,3
Let It Be,Let It Be,Late Beatles (1968-1970),Paul,Slow,C,Neutral,1,3
The Long and Winding Road,Let It Be,Late Beatles (1968-1970),Paul,Fast,Eb,Neutral,1,5
Dig It,Let It Be,Late Beatles (1968-1970),John,Fast,F,Happy,100+,2
Maggie Mae,Let It Be,Late Beatles (1968-1970),"John, Paul",Fast,G,Neutral,100+,2
Across the Universe,Let It Be,Late Beatles (1968-1970),John,Slow,D,Happy,100+,3
One After 909,Let It Be,Late Beatles (1968-1970),"John, Paul",Fast,B,Happy,100+,3
Two of Us,Let It Be,Late Beatles (1968-1970),"John, Paul",Mid,G,Happy,100+,3
Dig a Pony,Let It Be,Late Beatles (1968-1970),John,Mid,A,Neutral,100+,3
I Me Mine,Let It Be,Late Beatles (1968-1970),George,Slow,A,Neutral,100+,3
I've Got a Feeling,Let It Be,Late Beatles (1968-1970),"John, Paul",Fast,A,Neutral,100+,4
"Hello, Goodbye",Magical Mystery Tour,Studio (1966-1967),Paul,Slow,C,Happy,1,2
Penny Lane,Magical Mystery Tour,Studio (1966-1967),Paul,Mid,B,Neutral,1,2
